Package Name                                                            | Version      | ID  | Bundle Name
------------------------------------------------------------------------+--------------+-----+---------------------------------------------------------------------------
META-INF.cxf                                                            | 3.3.4        | 179 | org.apache.cxf.cxf-core
antlr.ASdebug                                                           | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.actions.cpp                                                       | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.actions.csharp                                                    | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.actions.java                                                      | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.actions.python                                                    | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.build                                                             | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.collections.impl                                                  | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.collections                                                       | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.debug.misc                                                        | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.debug                                                             | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr.preprocessor                                                      | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
antlr                                                                   | 0.0.0        | 104 | wrap_file__E___DEV__maven_repository_antlr_antlr_2.7.7_antlr-2.7.7.jar
com.codahale.metrics                                                    | 3.2.6        | 172 | io.dropwizard.metrics.core
com.ctc.wstx.api                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.cfg                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.compat                                                     | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.dom                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.dtd                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.ent                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.evt                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.exc                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.io                                                         | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.msv                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.osgi                                                       | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.sax                                                        | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.sr                                                         | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.stax                                                       | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.sw                                                         | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.ctc.wstx.util                                                       | 5.0.3        | 169 | com.fasterxml.woodstox.woodstox-core
com.fasterxml.classmate.members                                         | 1.3.4        | 52  | com.fasterxml.classmate
com.fasterxml.classmate.types                                           | 1.3.4        | 52  | com.fasterxml.classmate
com.fasterxml.classmate.util                                            | 1.3.4        | 52  | com.fasterxml.classmate
com.fasterxml.classmate                                                 | 1.3.4        | 52  | com.fasterxml.classmate
com.fasterxml.jackson.annotation                                        | 2.9.10       | 162 | com.fasterxml.jackson.core.jackson-annotations
com.fasterxml.jackson.core.async                                        | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.base                                         | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.filter                                       | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.format                                       | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.io                                           | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.json.async                                   | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.json                                         | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.sym                                          | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.type                                         | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core.util                                         | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.core                                              | 2.9.10       | 163 | com.fasterxml.jackson.core.jackson-core
com.fasterxml.jackson.databind.annotation                               | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.cfg                                      | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.deser.impl                               | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.deser.std                                | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.deser                                    | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.exc                                      | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.ext                                      | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.introspect                               | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.jsonFormatVisitors                       | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.jsonschema                               | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.jsontype.impl                            | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.jsontype                                 | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.module                                   | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.node                                     | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.ser.impl                                 | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.ser.std                                  | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.ser                                      | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.type                                     | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind.util                                     | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.databind                                          | 2.9.10       | 164 | com.fasterxml.jackson.core.jackson-databind
com.fasterxml.jackson.dataformat.yaml.snakeyaml.error                   | 2.9.10       | 165 | com.fasterxml.jackson.dataformat.jackson-dataformat-yaml
com.fasterxml.jackson.dataformat.yaml                                   | 2.9.10       | 165 | com.fasterxml.jackson.dataformat.jackson-dataformat-yaml
com.fasterxml.jackson.jaxrs.annotation                                  | 2.9.10       | 166 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-base
com.fasterxml.jackson.jaxrs.base.nocontent                              | 2.9.10       | 166 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-base
com.fasterxml.jackson.jaxrs.base                                        | 2.9.10       | 166 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-base
com.fasterxml.jackson.jaxrs.cfg                                         | 2.9.10       | 166 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-base
com.fasterxml.jackson.jaxrs.json.annotation                             | 2.9.10       | 167 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-json-provider
com.fasterxml.jackson.jaxrs.json                                        | 2.9.10       | 167 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-json-provider
com.fasterxml.jackson.jaxrs.util                                        | 2.9.10       | 166 | com.fasterxml.jackson.jaxrs.jackson-jaxrs-base
com.fasterxml.jackson.module.jaxb.deser                                 | 2.9.10       | 168 | com.fasterxml.jackson.module.jackson-module-jaxb-annotations
com.fasterxml.jackson.module.jaxb.ser                                   | 2.9.10       | 168 | com.fasterxml.jackson.module.jackson-module-jaxb-annotations
com.fasterxml.jackson.module.jaxb                                       | 2.9.10       | 168 | com.fasterxml.jackson.module.jackson-module-jaxb-annotations
com.google.common.annotations                                           | 18.0.0       | 249 | com.google.guava
com.google.common.annotations                                           | 20.0.0       | 170 | com.google.guava
com.google.common.base                                                  | 18.0.0       | 249 | com.google.guava
com.google.common.base                                                  | 20.0.0       | 170 | com.google.guava
com.google.common.cache                                                 | 18.0.0       | 249 | com.google.guava
com.google.common.cache                                                 | 20.0.0       | 170 | com.google.guava
com.google.common.collect                                               | 18.0.0       | 249 | com.google.guava
com.google.common.collect                                               | 20.0.0       | 170 | com.google.guava
com.google.common.escape                                                | 18.0.0       | 249 | com.google.guava
com.google.common.escape                                                | 20.0.0       | 170 | com.google.guava
com.google.common.eventbus                                              | 18.0.0       | 249 | com.google.guava
com.google.common.eventbus                                              | 20.0.0       | 170 | com.google.guava
com.google.common.graph                                                 | 20.0.0       | 170 | com.google.guava
com.google.common.hash                                                  | 18.0.0       | 249 | com.google.guava
com.google.common.hash                                                  | 20.0.0       | 170 | com.google.guava
com.google.common.html                                                  | 18.0.0       | 249 | com.google.guava
com.google.common.html                                                  | 20.0.0       | 170 | com.google.guava
com.google.common.io                                                    | 18.0.0       | 249 | com.google.guava
com.google.common.io                                                    | 20.0.0       | 170 | com.google.guava
com.google.common.math                                                  | 18.0.0       | 249 | com.google.guava
com.google.common.math                                                  | 20.0.0       | 170 | com.google.guava
com.google.common.net                                                   | 18.0.0       | 249 | com.google.guava
com.google.common.net                                                   | 20.0.0       | 170 | com.google.guava
com.google.common.primitives                                            | 18.0.0       | 249 | com.google.guava
com.google.common.primitives                                            | 20.0.0       | 170 | com.google.guava
com.google.common.reflect                                               | 18.0.0       | 249 | com.google.guava
com.google.common.reflect                                               | 20.0.0       | 170 | com.google.guava
com.google.common.util.concurrent                                       | 18.0.0       | 249 | com.google.guava
com.google.common.util.concurrent                                       | 20.0.0       | 170 | com.google.guava
com.google.common.xml                                                   | 18.0.0       | 249 | com.google.guava
com.google.common.xml                                                   | 20.0.0       | 170 | com.google.guava
com.ibm.wsdl.extensions.http                                            | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.extensions.mime                                            | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.extensions.schema                                          | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.extensions.soap12                                          | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.extensions.soap                                            | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.extensions                                                 | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.factory                                                    | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.util.xml                                                   | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.util                                                       | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl.xml                                                        | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.ibm.wsdl                                                            | 1.6.3        | 228 | org.apache.servicemix.bundles.wsdl4j
com.mysema.commons.lang                                                 | 0.2.4        | 250 | com.mysema.commons.lang
com.querydsl.core.alias                                                 | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.annotations                                           | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.dml                                                   | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.group                                                 | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.support                                               | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.types.dsl                                             | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.types                                                 | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core.util                                                  | 4.2.2        | 251 | com.querydsl.core
com.querydsl.core                                                       | 4.2.2        | 251 | com.querydsl.core
com.querydsl.jpa.hibernate.sql                                          | 4.2.2        | 252 | com.querydsl.jpa
com.querydsl.jpa.hibernate                                              | 4.2.2        | 252 | com.querydsl.jpa
com.querydsl.jpa.impl                                                   | 4.2.2        | 252 | com.querydsl.jpa
com.querydsl.jpa.sql                                                    | 4.2.2        | 252 | com.querydsl.jpa
com.querydsl.jpa.support                                                | 4.2.2        | 252 | com.querydsl.jpa
com.querydsl.jpa                                                        | 4.2.2        | 252 | com.querydsl.jpa
com.sun.codemodel.fmt                                                   | 2.3.1        | 224 | org.apache.servicemix.bundles.jaxb-xjc
com.sun.codemodel.util                                                  | 2.3.1        | 224 | org.apache.servicemix.bundles.jaxb-xjc
com.sun.codemodel.writer                                                | 2.3.1        | 224 | org.apache.servicemix.bundles.jaxb-xjc
com.sun.codemodel                                                       | 2.3.1        | 224 | org.apache.servicemix.bundles.jaxb-xjc
com.sun.el.lang                                                         | 3.0.0        | 246 | com.sun.el.javax.el
com.sun.el.parser                                                       | 3.0.0        | 246 | com.sun.el.javax.el
com.sun.el.stream                                                       | 3.0.0        | 246 | com.sun.el.javax.el
com.sun.el.util                                                         | 3.0.0        | 246 | com.sun.el.javax.el
